Date,Price,Open,Vol.
11/11/2020,1866.2,1880.5,0.54
11/10/2020,1881.2,1865.2,0.2
11/9/2020,1860.1,1960,3.76
11/6/2020,1955.3,1948.1,0.04
11/5/2020,1950.2,1909.8,0.05
11/4/2020,1899.7,1899.3,0.02
11/3/2020,1914,1911.6,0.02
11/2/2020,1895.7,1891,0
10/30/2020,1883.5,1874.8,0
10/29/2020,1871.6,1871.6,225.16
10/28/2020,1879.2,1909.8,297.09
10/27/2020,1911.9,1904.4,153.3
10/26/2020,1905.7,1906,166.31
10/23/2020,1905.2,1906.5,172.96
10/22/2020,1904.6,1927.4,215.58
10/21/2020,1929.5,1911.6,201.27
10/20/2020,1915.4,1906.4,163.91
10/19/2020,1911.7,1903.2,159.85
10/16/2020,1906.4,1912.7,146.91
10/15/2020,1908.9,1906,213.57
10/14/2020,1907.3,1895.4,188.3
10/13/2020,1894.6,1927.3,267.54
10/12/2020,1928.9,1935,157.21
10/9/2020,1926.2,1898.4,229.85
10/8/2020,1895.1,1890.6,185.45
10/7/2020,1890.8,1882.6,188.59
10/6/2020,1908.8,1917.8,219.44
10/5/2020,1920.1,1910.9,177.59
10/2/2020,1907.6,1911,212.73
10/1/2020,1916.3,1891.2,262.09
9/30/2020,1895.5,1903.2,259.87
9/29/2020,1903.2,1886.4,217.8
9/28/2020,1877.6,1860.4,0.88
9/25/2020,1862.2,1868,0.32
9/24/2020,1873,1863.5,0.37
9/23/2020,1864.5,1898,0.25
9/22/2020,1903.4,1916.2,0.3
9/21/2020,1906.2,1954.8,0.21
9/18/2020,1957.5,1948.2,0.03
9/17/2020,1945.4,1962.5,0.12
9/16/2020,1966.2,1958.9,0.09
9/15/2020,1961.9,1968,0.07
9/14/2020,1958.8,1943.4,0.11
9/11/2020,1943.3,1948.2,0.01
9/10/2020,1959.7,1951.3,0.08
9/9/2020,1950.4,1933.6,0.07
9/8/2020,1939.5,1937.4,0.04
9/7/2020,1943.2,1938,416.01
9/4/2020,1930.6,1936.2,0.04
9/3/2020,1933.8,1939.2,0.03
9/2/2020,1940.8,1966.3,0.01
9/1/2020,1974.8,1977.4,0.01
8/31/2020,1974.5,1977.7,0
8/28/2020,1970.8,1970.8,334.1
8/27/2020,1925,1955.5,17.61
8/26/2020,1944.1,1930.5,18.33
8/25/2020,1915.6,1927.8,10.78
8/24/2020,1931.5,1938.9,10.99
8/21/2020,1938.3,1946.7,15.21
8/20/2020,1938.3,1927.5,16.99
8/19/2020,1963.5,2002.6,19.96
8/18/2020,2004.8,1984.9,16.07
8/17/2020,1989.9,1948.2,13.14
8/14/2020,1942.3,1954.5,10.24
8/13/2020,1961.9,1918.1,11.69
8/12/2020,1940.5,1912.7,21.92
8/11/2020,1938.9,2029,32.06
8/10/2020,2030.3,2034.5,12.56
8/7/2020,2018,2065.1,25.62
8/6/2020,2058.4,2042.6,18.31
8/5/2020,2037.1,2024.7,24.46
8/4/2020,2008.5,1981.7,17.11
8/3/2020,1974.7,1985.2,11.86
7/31/2020,1973.9,1961,14.53
7/30/2020,1955.2,1974.3,21.32
7/29/2020,1959.4,1956,5.75
7/28/2020,1949.9,1942,5.68
7/27/2020,1936.2,1905,1.87
7/24/2020,1902.5,1889.6,1.78
7/23/2020,1894.8,1877.5,1.31
7/22/2020,1869.9,1846,1.44
7/21/2020,1848.7,1823.6,0.54
7/20/2020,1822.2,1817.3,0.32
7/17/2020,1816,1803.1,0.1
7/16/2020,1806.3,1820.4,0.21
7/15/2020,1820.5,1819,0.13
7/14/2020,1819.8,1811.5,0.11
7/13/2020,1820.8,1810.6,0.11
7/10/2020,1808.6,1815.5,0.12
7/9/2020,1810.7,1826.5,0.15
7/8/2020,1826.5,1813.6,0.29
7/7/2020,1815.8,1801.9,0.15
7/6/2020,1799,1793.7,0.11
7/3/2020,1793.5,1787.9,184.65
7/2/2020,1795.8,1780,0.03
7/1/2020,1785.9,1803.3,0.17
6/30/2020,1805.2,1788.1,0.07
6/29/2020,1785.9,1785.9,130.51
6/26/2020,1780.3,1774.8,201.23
6/25/2020,1770.6,1772.3,152.2
6/24/2020,1775.1,1784.4,239.53
6/23/2020,1782,1764.9,194.68
6/22/2020,1766.4,1765.8,228.68
6/19/2020,1753,1729.8,181.15
6/18/2020,1731.1,1735.5,155.91
